id,_symbol,_company,_quantity,_sheesh
1,AAPL,Apple Inc.,3258342909000,212.49
2,MSFT,Microsoft Corp.,3289317436700,442.57
3,AMZN,Amazon.com. Inc,1911276156000,183.66
4,NVDA,Nvidia Corp.,3244248000000,131.88
5,GOOGL,Alphabet. Inc Class A,2194656930943,176.79
6,META,Meta Platforms Inc. Class A,1278819121092,504.16
7,TSLA,Tesla Inc.,567709492000,178.01
8,GOOG,Alphabet Inc. Class C,2192443905494,178.37
9,BRK-B,Berkshire Hathaway Inc. Class B,876185442293,405.54
10,AVGO,Broadcom Inc.,804053971840,1735.04
11,UNH,UnitedHealth Group Inc.,457541791200,497.12
12,JPM,JPMorgan Chase & Co.,556472212600,193.78
13,LLY,Eli Lilly & Co.,834883272250,878.45
14,V,Visa Inc. Class A,541589899445,270.66
15,XOM,Exxon Mobil Corp. ,489459822300,109.11
16,JNJ,Johnson & Johnson,350268207200,145.54
17,HD,Home Depot Inc.,343931399760,346.84
18,MA,Mastercard Inc. Class A ,410157836100,444.63
19,PG,Procter & Gamble Co.,393647750600,166.79
20,COST,Costco Wholesale Corp.,379348459450,855.67
21,ABBV,AbbVie Inc.,297708023300,168.59
22,MRK,Merck & Co. Inc.,327948238800,129.48
23,ADBE,Adobe Inc.,235338880000,525.31
24,CVX,Chevron Corp. ,281181932900,152.57
25,CRM,Salesforce Inc.,224749860000,231.94
26,TRN,TORININC,2299585980,28.1
27,A,Agilent Technologies,45033761850,153.67
28,AAL,American Airlines Group,9204942700,14.03
29,ABNB,Airbnb,92806707545,144.1
30,ABT,Abbott,175232929900,100.73
31,ACGL,Arch Capital Group,38168965100,101.65
32,ACN,Accenture,185412182099,286.71
33,ADI,Analog Devices,113892966383,231.19
34,ADM,Archer-Daniels-Midland,30294216260,61.27
35,ADP,Automated Data Processing,103198632740,252.14
36,ADSK,Autodesk,47465053280,220.28
37,AEE,Ameren,19882915200,74.56
38,AEP,American Electric Power,48822039547,92.62
39,AES,AES Corporation,14952433680,21.04
40,AFL,Aflac,49770564980,87.59
41,AIG,American International Group,52217398240,78.68
42,AIZ,Assurant,8909326404,171.38
43,AJG,Arthur J. Gallagher & Co.,56338040000,257.84
44,AKAM,Akamai,14393956500,94.5
45,ALB,Albemarle Corporation,14883619280,126.64
46,ALGN,Align Technology,19875874434,264.02
47,ALL,Allstate,44361626210,168.19
48,ALLE,Allegion,10803298485,123.55
49,AMAT,Applied Materials,182631160600,219.8
50,AMCR,Amcor,14554573800,10.07
51,AMD,Advanced Micro Devices,266141604600,164.66
52,AME,Ametek,39148521100,169.13
53,AMGN,Amgen,168896559435,314.85
54,AMP,Ameriprise Financial,43114952592,434.08
55,AMT,American Tower,90653856750,194.13
56,ANET,Arista Networks,99332937370,316.99
57,ANSS,Ansys,28528767000,326.79
58,AON,Aon,63050641380,289.98
59,AOS,A. O. Smith,12575580114,85.74
60,APA,APA Corporation,11403018240,30.72
61,APD,Air Products and Chemicals,58835505960,264.66
62,APH,Amphenol,81321781600,135.4
63,APTV,Aptiv,22178494241,81.52
64,ARE,Alexandria Real Estate Equities,21596301670,123.49
65,ATO,Atmos Energy,17878924500,118.5
66,AVB,AvalonBay Communities,28219655420,198.47
67,AVY,Avery Dennison,18458006076,229.14
68,AWK,American Water Works,26176418280,134.36
69,AXON,Axon Enterprise,21730780240,287.95
70,AXP,American Express,174848173240,243.08
71,AZO,AutoZone,48808539407,2820.83
72,BA,Boeing,113433485520,184.78
73,BAC,Bank of America,310077670500,39.65
74,BALL,Ball Corporation,21822677180,70.31
75,BAX,Baxter International,17555031000,34.45
76,BBWI,"Bath & Body Works, Inc.",11185486650,50.01
77,BBY,Best Buy,15722299840,72.67
78,BDX,Becton Dickinson,67875949160,234.86
79,BEN,Franklin Templeton,12557792170,23.87
80,BF.B,Brown–Forman,0,0
81,BG,Bunge Global SA,14628179450,103.31
82,BIIB,Biogen,33150980930,227.69
83,BIO,Bio-Rad,8266208329,289.45
84,BK,Bank of New York Mellon,44180969280,59.08
85,BKNG,Booking Holdings,129682440350,3822.34
86,BKR,Baker Hughes,32953893960,33.02
87,BLDR,Builders FirstSource,20498252580,167.94
88,BLK,BlackRock,119612598000,804.93
89,BMY,Bristol Myers Squibb,85685517000,42.27
90,BR,Broadridge Financial Solutions,23632454600,199.97
91,BRO,Brown & Brown,25629622650,89.85
92,BSX,Boston Scientific,111248520600,75.67
93,BWA,BorgWarner,8316087000,36.5
94,BX,Blackstone,154407662349,127.71
95,BXP,Boston Properties,9792628650,62.35
96,C,Citigroup,123487665600,64.74
97,CAG,Conagra Brands,14719559770,30.79
98,CAH,Cardinal Health,23384867670,96.01
99,CARR,Carrier Global,59665080860,66.22
100,CAT,Caterpillar Inc.,175604260710,359.07
101,CB,Chubb Limited,107606165000,265
102,CBOE,Cboe Global Markets,19320995960,183.74
103,CBRE,CBRE Group,27743026080,90.42
104,CCI,Crown Castle,43778192250,100.75
105,CCL,Carnival,20341372423,16.2
106,CDNS,Cadence Design Systems,78946073400,290.1
107,CDW,CDW,30962611240,230.38
108,CE,Celanese,16976064600,155.43
109,CEG,Constellation Energy,70168127487,222.59
110,CF,CF Industries,14363009560,78.58
111,CFG,Citizens Financial Group,16640081400,36.57
112,CHD,Church & Dwight,26178632380,107.06
113,CHRW,CH Robinson,9672047000,82.6
114,CHTR,Charter Communications,39789727800,276.26
115,CI,Cigna,95556812120,336.38
116,CINF,Cincinnati Financial,18566213220,118.59
117,CL,Colgate-Palmolive,78081369970,95.17
118,CLX,Clorox,16685899680,134.36
119,CMA,Comerica,7106663146,53.6
120,CMCSA,Comcast,148503989201,37.94
121,CME,CME Group,75739041700,210.35
122,CMG,Chipotle Mexican Grill,87147297600,3172.8
123,CMI,Cummins,39113608800,285.96
124,CMS,CMS Energy,18697537350,62.61
125,CNC,Centene Corporation,41838630322,78.4
126,CNP,CenterPoint Energy,19454006840,30.41
127,COF,Capital One,53629487240,140.42
128,COO,CooperCompanies,19231630560,96.76
129,COP,ConocoPhillips,140823107300,120.41
130,COR,Cencora,43297040160,217.08
131,CPB,Campbell Soup Company,13721681090,46.03
132,CPRT,Copart,52813107660,54.93
133,CPT,Camden Property Trust,11284187200,105.92
134,CRL,Charles River Laboratories,11408811316,221.48
135,CSCO,Cisco,190068978600,46.94
136,CSGP,CoStar Group,35464502700,86.85
137,CSX,CSX,64649535100,33.07
138,CTAS,Cintas,71019026850,699.95
139,CTLT,Catalent,9946660800,54.96
140,CTRA,Coterra,20719446720,27.84
141,CTSH,Cognizant,34202319210,68.79
142,CTVA,Corteva,39483690400,56.65
143,CVS,CVS Health,71957808400,57.32
144,CZR,Caesars Entertainment,7702245440,35.59
145,D,Dominion Energy,45213101340,53.94
146,DAL,Delta Air Lines,33704697990,52.23
147,DAY,Dayforce,9639795000,61.05
148,DD,DuPont,33247630080,79.52
149,DE,John Deere,107652172920,386.74
150,DECK,Deckers Brands,23094706268,899.74
151,DFS,Discover Financial,31369982820,125.18
152,DG,Dollar General,31325084600,142.6
153,DGX,Quest Diagnostics,15923927280,143.34
154,DHI,DR Horton,49192626560,149.38
155,DHR,Danaher Corporation,197430119850,266.55
156,DIS,Walt Disney,188951243000,103.01
157,DLR,Digital Realty,46585449020,144.26
158,DLTR,Dollar Tree,25002650100,114.7
159,DOC,Healthpeak,13899694500,19.75
160,DOV,Dover Corporation,25570225800,186.06
161,DOW,Dow Inc.,41425865460,58.91
162,DPZ,Domino's,17918656344,513.72
163,DRI,Darden Restaurants,17866848710,149.69
164,DTE,DTE Energy,24248877660,117.18
165,DUK,Duke Energy,80557248220,104.38
166,DVA,DaVita Inc.,12163113000,138.69
167,DVN,Devon Energy,31454640000,49.77
168,DXCM,Dexcom,52032974560,130.84
169,EA,Electronic Arts,34448047500,128.85
170,EBAY,eBay,26398020000,52.17
171,ECL,Ecolab,67108950000,235
172,ED,Consolidated Edison,33317743900,96.34
173,EFX,Equifax,29425598550,238.05
174,EG,Everest Re,17129484112,394.16
175,EIX,Edison International,29537487810,76.77
176,EL,Estée Lauder Companies (The),47606788890,132.72
177,ELV,Elevance Health,126809584980,545.61
178,EMN,Eastman Chemical Company,11754419850,99.95
179,EMR,Emerson Electric,65047770000,113.7
180,ENPH,Enphase,15171024500,111.5
181,EOG,EOG Resources,74080247900,128.9
182,EPAM,EPAM Systems,11088183744,191.26
183,EQIX,Equinix,75188091768,792.24
184,EQR,Equity Residential,25315329600,66.8
185,EQT,EQT,18189174480,41.19
186,ES,Eversource,21565051100,61.22
187,ESS,Essex Property Trust,16961475856,264.16
188,ETN,Eaton Corporation,134624654000,336.73
189,ETR,Entergy,24390196140,114.22
190,ETSY,Etsy,7504759940,64.18
191,EVRG,Evergy,12790950270,55.63
192,EW,Edwards Lifesciences,54438884000,90.34
193,EXC,Exelon,38521155600,38.52
194,EXPD,Expeditors International,16628185440,117.72
195,EXPE,Expedia Group,14181249370,111.71
196,EXR,Extra Space Storage,30928788000,146.08
197,F,Ford Motor Company,47646103500,12.15
198,FANG,Diamondback Energy,35055296640,196.56
199,FAST,Fastenal,37965591570,66.31
200,FCX,Freeport-McMoRan,78030136800,54.32
201,FDS,FactSet,17149441894,449.93
202,FDX,FedEx,62093618730,252.33
203,FE,FirstEnergy,23268111880,40.43
204,FFIV,"F5, Inc.",10165561216,173.44
205,FI,Fiserv,89386032540,152.77
206,FICO,Fair Isaac,33972545320,1374.8
207,FIS,Fidelity National Information Services,43448765610,78.11
208,FITB,Fifth Third Bank,26021071800,38.04
209,FLT,Fleetcor,21790322736,303.26
210,FMC,FMC Corporation,0,64.03
211,FOX,Fox Corporation (Class B),14742420264,30.4
212,FOXA,Fox Corporation (Class A),14775768319,32.87
213,FRT,Federal Realty,8402268854,101.29
214,FSLR,First Solar,22704466510,212.11
215,FTNT,Fortinet,46837038780,61.31
216,FTV,Fortive,27141435900,77.1
217,GD,General Dynamics,81502569840,297.06
218,GE,General Electric,176232210000,161
